sample,Site,Visit,Category,treatment.status,WaterPotential_MPa,PercentMoisture,Total.N,Total.C,CN.ratio,OM.LOI,pH,EC,NH4,NO3,P,meanDepth,meanSPC,waterpH,meanORP,Phrag Present,NoSpecies_1,DomSpecies_1,Listspecies_1,NoSpecies_2,DomSpecies_2,Listspecies_2,NoSpecies_3,DomSpecies_3,Listspecies_3,NoSpecies_4,DomSpecies_4,Listspecies_4,NoSpecies_5,DomSpecies_5,Listspecies_5,MeanSpecies,mean.canopy,mean.stem.density,lat,long,Location,Area,plotID,year.last.treatment,treatment.2021,herbicide.2021,num_treatments,num_phrag_total,percent.phrag,num_phrag_per,phrag.present,isimpaired,algal.growth,cause.unk.impaired.biota,metals.other.hg,nutrients,oxygen.depletion,pathogens,polychlorinated.biphenyls,solids.chlorides.sulfates,temperatur,unimpaired,mean.orp,mean.orp.10,mean.orp.20,mean.do.mg,mean.do.percent,mean.depth,mean.mulch,mean.temp,np.ratio,sp.richness,treatment.2021,soil.salinity,nanodrop.dna,Al1670,As1890,B_2497,Ba4554,Ca3179,Cd2265,Co2286,Cr2835,Cu3247,Fe2382,K_7664,Mg2852,Mn2576,Mo2020,Na5895,Ni2316,P_1782,Pb2203,S_1820,Se1960,Si2516,Sr4077,Ti3088,V_3093,Zn2138
24B,24,B,Untreated,Untreated,-0.82,98.6,0.59,9.579,16.2491,8.9,7.598,1.979,6.8572,2.719,77.5,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,2,phragmites,"phragmites, cattail",1.2,238.8,23.4,40.91921,-111.94921,FBWMA,Great Salt Lake,,,,N,,14,93.3,5,Y, , , , , , , , , , ,,,190.8,170.2,NA,NA,-30,1.8,NA,16.83458731,2,NA,Brackish,213.1,29.92,0.0466,0.2099,0.6125,254.2,0.0094,0.0231,0.1589,0.3695,52.01,11.65,76.91,1.185,0.0066,7.957,0.0452,4.903,0.4811,8.913,-0.0096,5.689,0.898,1.364,0.2235,0.838
25B,25,B,Treated,Treated,-4.87,54.8,0.797,12.864,16.1398,9.5,7.832,14.89,0.7623,1.8062,108.72,NA,NA,NA,NA,Yes,3,grass,"phragmites, 2 grasses",3,pickleweed,"pickleweed, phragmites, grass",4,unknown,"phragmites, unknown grasses",4,grass,"phragmites, pickleweed, grasses",3,grass,"phragmites, grass",3.4,27.4,99.2,40.91486,-111.99089,FBWMA,Great Salt Lake,GSL5,2020,,N,,2,13.3,0,Y,N, , , , , , , , , ,Cause,,115.8,112.8,NA,NA,NA,0,NA,16.21067291,4,NA,Saline,289.3,28.81,0.0579,0.3928,0.6962,394.2,0.0139,0.0217,0.2014,0.7294,45.75,16.22,102.7,1.404,0.0061,45.28,0.0503,5.313,0.7519,15.21,0.0084,5.259,2.582,1.168,0.2886,1.137
26B,26,B,Untreated,Untreated,-0.23,121.3,0.734,13.435,18.3128,11,7.779,3.394,7.1055,0.2834,101.85,-19.6,6689.5,7.13,-121.55,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,2,phragmites,"phragmites, ?",1,phragmites,phragmites,1.2,268,41.2,40.89986,-112.01522,FBWMA,Great Salt Lake,,,,Y,,15,100,5,Y,N, , , , , , , , , ,Cause,-48.08,-109.8,-153.2,2.563333333,34.4,-19.6,26.2,21.03333333,15.93628882,2,Spray,Brackish,209.4,30.94,0.0621,0.2579,0.8913,366.2,0.0136,0.0244,0.2394,0.6602,49.09,14.48,91.08,1.243,0.0121,11.12,0.0575,5.207,0.4506,14.9,-0.0023,8.854,2.2,1.369,0.2668,0.9758
27B,27,B,Untreated,Untreated,-0.82,62.9,0.371,11.543,31.0935,5.1,7.953,3.286,9.5577,2.4255,36.74,-29.8,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,244.2,29.2,41.42317,-112.08604,BRMBR,Great Salt Lake,,2018,,N,,12,80,5,Y,N, , , , , , , , , ,Cause,,91.8,86.6,NA,NA,-29.8,0,NA,22.32990745,1,NA,Brackish,64.1,26.56,0.017,0.1093,0.6725,499.7,0.0041,0.0163,0.1034,0.0567,39.71,11.64,47.75,1.277,0.0027,8.567,0.0351,3.109,0.0494,5.682,-0.0096,6.476,1.527,0.7853,0.141,0.1664
28B,28,B,Native,Untreated,-0.61,75.7,0.229,9.133,39.8259,2.8,8.052,2.459,3.0307,0.046,39.13,6,8391.666667,6.866666667,-95.6,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,220,18,41.42287,-112.08645,BRMBR,Great Salt Lake,,2018,,N,,0,0,0,N,N, , , , , , , , , ,Cause,-57.36,-213.8,-181.4,0.126666667,1.666666667,6,0,21.06666667,12.94129687,1,Grazing,Brackish,83.9,15.39,0.0051,0.0981,0.5324,465.8,0.0024,0.0137,0.0418,0.0498,30.58,8.354,49.65,1.185,0.0002,8.237,0.0319,3.099,0.0398,5.027,-0.0049,5.814,1.348,0.5136,0.1825,0.1687
29B,29,B,Untreated,Untreated,-0.68,71.2,0.385,10.953,28.4467,6.5,7.825,2.984,4.76,0.0955,47.18,-26.8,8049,7.15,-214.3,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,280.6,11.8,41.42255,-112.1074,BRMBR,Great Salt Lake,,,,N,,15,100,5,Y, , , , , , , , , , ,,-42.86,108.8,116.8,0.15,2,-26.8,10.6,21.7,18.04491989,1,NA,Brackish,99.4,20.54,0.0176,0.1279,0.6662,521,0.0046,0.0176,0.0537,0.0632,38.66,11.42,48.79,1.372,0.0025,7.954,0.0411,3.554,0.0465,7.086,0.007,5.939,1.508,0.6628,0.1994,0.1853
30B,30,B,Native,Untreated,-0.99,46.6,0.321,10.011,31.1603,4.4,7.888,3.292,3.5213,3.3597,46.28,-30,NA,NA,NA,No,1,hardstem bullrush,hardstem bullrush,3,hardstem bullrush,"hardstem bullrush, ?",1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1.4,242.2,57.6,41.42313,-112.11765,BRMBR,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,,185,201.2,NA,NA,-30,3.8,NA,15.33782744,2,Grazing,Brackish,70.5,22.38,0.0228,0.1048,0.6429,518.7,0.0036,0.0187,0.0621,0.0644,38.86,13.39,51.29,1.361,0.001,7.413,0.0408,3.461,0.0563,6.303,0.025,14.07,1.452,0.6985,0.2079,0.1794
31B,31,B,Treated,Treated,-1.94,44.5,0.174,7.33,42.1623,3.1,8.14,5.69,2.174,0.2128,50.93,-30,NA,NA,NA,Yes,4,phragmites,"phragmites, bindweed, ?",1,phragmites,phragmites,1,phragmites,phragmites,1,?,?,6,?,?,2.6,56.6,24.6,41.42277,-112.12871,BRMBR,Great Salt Lake,GSL6,,,Y,,9,60,3,Y, , , , , , , , , , ,,,206.4,217.8,NA,NA,-30,4.4,NA,7.554882905,3,Spray,Saline,22,14,0.0063,0.0814,0.5009,342.5,0.0027,0.0123,0.0373,0.0346,25.79,8.66,44.43,1.178,0.0007,14.24,0.0278,3.089,0.0307,2.834,0.0001,3.504,0.7573,0.3414,0.1608,0.1247
32B,32,B,Native,Untreated,-0.97,135.5,0.334,9.56,28.6433,5.4,8.149,13.33,3.5913,0.0854,43.06,-11.4,23460,6.653333333,-375.0333333,No,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,143,10.2,41.42293,-112.13471,BRMBR,Great Salt Lake,,,,Y,,0,0,0,N, , , , , , , , , , ,,,-238,-194.6,0.193333333,2.8,-11.4,0,22.73333333,17.15238857,1,Spray,Saline,98.6,20.39,0.0242,0.172,0.5554,445.8,0.0047,0.0178,0.0606,0.0697,40.95,15.93,59.37,1.44,0.0007,30.73,0.0438,3.188,0.0598,11.03,-0.0159,5.862,1.297,0.6577,0.2337,0.1781
33B,33,B,Treated,Treated,-0.98,34.2,0.266,9.085,34.1723,4.8,8.557,1.932,2.0938,1.7902,35.79,NA,NA,NA,NA,Yes,2,phragmites,"phragmites, unknown grass",2,phragmites,"phragmites, grass",2,phragmites,"phragmites, grass",1,phragmites,phragmites,1,phragmites,phragmites,1.6,70,7.4,41.42141,-112.14694,BRMBR,Great Salt Lake,GSL7,,,Y,,14,93.3,5,Y, , , , , , , , , , ,,,205.6,211,NA,NA,NA,3.2,NA,16.43509064,2,Spray,Brackish,67,21.72,0.022,0.176,0.5988,435.9,0.0041,0.0195,0.0657,0.0599,42.37,15.1,73.81,1.427,-0.0005,7.518,0.044,3.229,0.0583,2.846,-0.0016,5.83,1.291,0.9306,0.2721,0.1777
34B,34,B,Native,Untreated,-1.18,125.3,0.239,7.741,32.415,4.8,8.064,8.05,2.5946,0.056,22.58,22.5,12371.13,7.115,-307.6,No,1,cattail,cattail,1,bullrush,bullrush,1,cattail,cattail,1,cattail,cattail,1,cattail,cattail,1,134.4,21.4,41.42295,-112.14687,BRMBR,Great Salt Lake,,,,Y,,0,0,0,N, , , , , , , , , , ,,,-233.4,-277.8,0.045,0.65,22.5,3.25,24.35,23.40594223,2,Spray,Saline,80,16.37,0.0083,0.1041,0.3883,334.9,0.0025,0.0143,0.0513,0.0432,31.49,10.07,47.48,0.8836,0.0018,19.03,0.0347,3.01,0.0365,8.068,-0.0167,5.994,0.7193,0.5588,0.1834,0.1373
35B,35,B,Treated,Treated,-0.71,61.3,0.134,8.508,63.4141,2.2,8.287,3.037,1.9439,0.058,36.21,25.66666667,8474.333333,8.196666667,-98.5,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,2,phragmites,"phragmites, grass",1.2,90.2,6,41.41966,-112.17626,BRMBR,Great Salt Lake,GSL8,,,Y,,9,60,5,Y, , , , , , , , , , ,,-59.1,-87.4,-61.2,0.07,1.066666667,25.66666667,125.8,27.76666667,8.183299363,2,Spray,Brackish,38.3,18.59,0.0133,0.1286,0.6124,481.4,0.0033,0.0162,0.0492,0.0453,35.44,12.3,58.04,1.427,0.0008,11.63,0.0388,3.027,0.0483,4.606,-0.0125,5.967,1.289,0.5634,0.2154,0.1447
36B,36,B,Untreated,Untreated,-1.18,42.1,0.184,7.711,41.8407,3.4,8.015,2.919,3.654,1.4631,46.28,-30,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,184.6,9.4,41.41581,-112.21602,BRMBR,Great Salt Lake,,,,N,,13,86.7,5,Y, , , , , , , , , , ,,,220.4,191.6,NA,NA,-30,1.4,NA,8.791776479,1,NA,Brackish,107.9,17.19,0.0202,0.0872,0.5226,377.6,0.0038,0.0122,0.05,0.0371,31.35,7.713,52.65,1.321,-0.0008,5.952,0.0339,3.272,0.0402,2.434,-0.0009,6.135,0.8789,0.6595,0.1931,0.1395
37B,37,B,Untreated,Untreated,-1.33,44.4,0.238,8.3,34.8604,3.2,8.127,4.917,2.423,0.8347,39.58,-29,NA,NA,NA,Yes,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,188.4,20.2,41.42837,-112.28221,BRMBR,Great Salt Lake,,,,N,,15,100,5,Y, , , , , , , , , , ,,,41.6,91.4,NA,NA,-29,7.2,NA,13.29698971,1,Grazing,Saline,94,18.83,0.0064,0.126,0.5058,393.3,0.0036,0.017,0.0482,0.0513,36.4,11.96,55.29,1.366,0.0034,12.76,0.0378,3.188,0.053,4.534,0.0031,5.659,1.035,0.6072,0.2121,0.1616
38B,38,B,Native,Untreated,-0.57,84.2,0.163,7.54,46.1575,2.9,7.983,2.68,2.8609,0.0496,27.37,18.7,3206,6.903333333,-286.7666667,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,194.2,43.6,41.43724,-112.28945,BRMBR,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-172.06,-280,-250.8,0.01,0.133333333,18.7,16.8,24.03333333,13.16936918,1,Grazing,Brackish,18.2,13.72,0.0295,0.0682,0.4703,384.1,0.0027,0.0151,0.0377,0.0309,25.32,6.155,43.49,1.078,0.0007,6.393,0.0239,2.924,0.0404,4.385,-0.0036,5.72,0.9436,0.4792,0.1612,0.1152
39B,39,B,Native,Untreated,-0.86,72.3,0.15,7.11,47.3149,2.7,8.023,3.025,1.9666,0.0531,20.09,13.3,3595,7.326666667,-234.2666667,No,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,179.4,90,41.4429,-112.28801,BRMBR,Great Salt Lake,,,,N,,0,0,0,N, , , , , , , , , , ,,-140.56,-291.2,-254.6,0.07,1.033333333,13.3,23,27.06666667,16.51062402,1,Grazing,Brackish,69.5,11.02,0.0082,0.0613,0.3857,349,0.0025,0.0112,0.0316,0.0271,20.28,5.189,43.46,0.8846,-0.0001,6.346,0.0215,2.807,0.027,4.275,-0.0057,5.931,0.7871,0.3632,0.1558,0.0938
40B,40,B,Treated,Treated,-0.13,85.6,0.29,8.779,30.3133,4.1,7.765,2.141,5.4377,0.0722,43.91,-5.8,2740.233333,6.863333333,-233.1666667,Yes,1,phragmites,phragmites,2,phragmites,"phragmites, ?",3,phragmites,"phragmites, cattail, unknown",2,phragmites,"phragmites, cattail, unknown",2,phragmites,"phragmites, ?",2,100,103,41.44256,-112.28673,BRMBR,Great Salt Lake,GSL9,,,N,,11,73.3,5,Y, , , , , , , , , , ,,-139.9,-241.8,-261,0,0,-5.8,14,24.27,14.60450111,3,Grazing,Brackish,72.1,20.81,0.0144,0.0943,0.5685,389.4,0.0042,0.0184,0.0547,0.0487,36.44,9.989,45.66,1.304,0.0017,5.463,0.0413,3.44,0.0385,5.196,-0.0073,5.841,1.025,0.4995,0.1855,0.171
41B,41,B,Native,Untreated,-0.05,48.3,0.376,6.203,16.477,5.8,7.63,0.847,4.1518,0.06,24.15,9.2,1050,6.79,-174.5,No,1,cattail,cattail,2,bullrush,"hardstem bullrush, cattail",2,hardstem bullrush,"hardstem bullrush, cattail",2,cattail,"cattail, hardstem bullrush",2,bullrush,"cattail, hardstem bullrush",1.8,191,22,41.50555,-112.07122,BRMBR,Great Salt Lake,,,,N,,0,0,0,N,Y, , , , ,Meeting Criteria, , ,Cause, ,,-104.7,-189.8,-119.2,0.08,4.966666667,9.2,22.2,20.4,34.42887843,2,NA,Fresh,69,20.86,0.0065,0.0996,0.3561,167.1,0.0027,0.0151,0.0494,0.0468,34.09,10.87,36.94,0.7998,-0.0002,1.608,0.0329,3.005,0.0417,3.459,0.0005,5.589,0.3989,0.9216,0.1523,0.1521
42B,42,B,Native,Untreated,-0.11,98.2,0.599,9.752,16.2899,12.2,7.273,1.646,7.9151,0.1773,59.98,-11.625,808.6666667,6.813333333,-160.3,Yes,3,unknown,"2 unknowns, cattail",1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1,hardstem bullrush,hardstem bullrush,1.4,189,36.4,41.50178,-112.07274,BRMBR,Great Salt Lake,,,,N,,0,0,0,N,Y, , , , ,Meeting Criteria, , ,Cause, ,,,-86,-202,1.463333333,1.666666667,-9.3,50,19.2,22.08373496,4,NA,Brackish,231.5,22.09,0.005,0.1388,0.4285,176.5,0.0044,0.016,0.0495,0.0711,35.25,12.62,37.75,1.114,0.0026,1.862,0.0357,3.489,0.0874,4.867,-0.0012,5.539,0.5718,0.5904,0.1626,0.1969
43B,43,B,Untreated,Untreated,-0.06,208.3,0.789,12.17,15.431,16,7.03,2.093,14.1057,0.1683,64.25,-4,851.9,6.653333333,-197.4333333,Yes,2,bullrush,"hardstem bullrush, phragmites",1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,1.2,313.6,48.8,41.4994,-112.07335,BRMBR,Great Salt Lake,,,,N,,14,93.3,4,Y,Y, , , , ,Meeting Criteria, , ,Cause, ,,-118.46,-143.4,-135.4,0.296666667,3.8,-2.4,51.2,20.5,27.15538951,2,NA,Brackish,161,24.45,0.017,0.1397,0.5249,252.4,0.0042,0.0188,0.0572,0.0742,41.9,12.48,46.22,1.176,0.0043,2.94,0.0364,3.656,0.0504,12.57,0.0027,5.233,0.8123,0.6737,0.1915,0.2384
46B,46,B,Native,Untreated,-0.08,55,0.204,9.237,45.3547,3.6,7.534,0.9451,5.3913,0.6484,26.92,-30,NA,NA,NA,No,3,?,?,5,hardstem bullrush,"hardstem bullrush, cottonwood, cattail, ?",4,?,"cattail, fuireneae sp, ?",6,cattail,"cattail, Hardstem Bullrush, ?",6,cattail,"cattail, harstem bullrush, ?",4.8,102.8,856.4,40.36026,-111.85788,North Lake Park,Utah Lake,,,,N,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,187.2,185,NA,NA,-30,0,NA,16.75742473,5,Mow,Fresh,135.1,9.714,0.0268,0.0532,0.3552,406.9,0.0027,0.0119,0.0362,0.0423,21.28,3.278,55.93,0.5965,0.0027,1.053,0.0245,2.633,0.0455,3.334,-0.0071,4.739,1.291,0.5015,0.1926,0.2662
47B,47,B,Native,Untreated,-0.03,66.7,0.336,9.743,29.0322,5.8,7.505,1.711,6.6366,1.2686,24.83,NA,NA,NA,NA,Yes,3,cattail,"cattail, phragmites, ?",5,?,"cattail, ?",2,bullrush,"bullrush, cattail",3,cattail,"cattail, 2 unknowns",1,cattail,cattail,2.8,31.8,12.8,40.36037,-111.85968,North Lake Park,Utah Lake,,,,Y,,1,6.7,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,200.4,379.4,NA,NA,NA,0,NA,29.9236608,5,Spray + Trample + Mow,Brackish,209.9,11.84,0.0367,0.0743,0.4052,398.9,0.0031,0.0147,0.0521,0.0631,29.26,4.343,48.35,0.6515,0.0027,1.828,0.03,2.809,0.0628,6.053,0.001,4.943,1.408,0.5325,0.1856,0.3219
48B,48,B,Native,Untreated,-0.27,36.4,0.149,8.364,56.138,2.9,7.912,2.078,1.4114,0.0429,28,-30,NA,NA,NA,No,8,cattail,"cattail, hardstem bullrush, ?",1,cattail,cattail,3,cattail,"cattail, ?",3,cattail,"cattail, stinging nettle, ?",3,cattail,"cattail, morning glory thistle, ?",3.6,211.4,52.8,40.36015,-111.85953,North Lake Park,Utah Lake,,,,Y,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,207.8,,NA,NA,-30,12.4,NA,11.76739691,6,Spray + Trample + Mow,Brackish,112.9,9.74,0.0219,0.0563,0.2766,376,0.0026,0.011,0.0347,0.0341,19.78,4.022,62.84,0.5734,0.0007,2.009,0.0227,2.68,0.0448,4.014,0.0025,4.456,1.131,0.4183,0.2119,0.2452
49B,49,B,Treated,Treated,-0.22,39.3,0.132,8.126,61.6878,2.1,7.902,0.7033,3.6632,0.4502,22.09,NA,NA,NA,NA,No,3,?,"bullrush, 2 unknown",3,bullrush,"bullrush, unknown, goldenrod?",4,?,"bullrush, goldenrod? unknowns",2,bullrush,"bullrush, goldenrod?",3,red leaf thing,unknowns,3,31.6,23,40.35976,-111.85689,North Lake Park,Utah Lake,UL5,2021,,Y,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,219,216,NA,NA,NA,0,NA,13.21388068,4,Spray,Fresh,70.3,10.3,0.0241,0.0428,0.2914,427.7,0.0036,0.012,0.058,0.0386,22.35,3.648,66.03,0.6695,0.0021,1.455,0.0257,3.047,0.0531,2.522,-0.0036,6.243,1.207,0.3945,0.1482,0.2714
50B,50,B,Untreated,Untreated,-0.24,31.1,0.362,5.968,16.4671,5.8,7.751,1.265,3.3918,3.4843,47.44,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, ?",1,phragmites,phragmites,3,phragmites,"phragmites, ?",2,phragmites,"phragmites, ?",3,phragmites,"phragmites, ?",2.4,245,41.4,40.36176,-111.85724,North Lake Park,Utah Lake,,,,N,,14,93.3,5,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,255.4,,NA,NA,-30,8.2,NA,16.87392271,2,NA,Fresh,195.2,22.09,0.0186,0.0946,0.5956,241,0.005,0.0218,0.0703,0.0731,47.81,9.463,47.07,1.57,0.0016,1.474,0.0528,4.771,0.0798,3.213,0.0014,5.41,0.7807,1.314,0.2131,0.3624
51B,51,B,Treated,Treated,-0.18,166.6,0.727,11.875,16.3388,9.5,7.765,7.532,8.1591,0.0901,38.36,-9.8,1943,7.195,-279.45,Yes,2,bullrush,"threestem bullrush, phragmites",2,bullrush,"3 square, cattail",1,3 square,3 square,1,3 square,3 square,3,3 square,"3 square, hardstem, cattail",1.8,82.4,2332.4,40.28241,-111.75275,Holdaway,Utah Lake,UL6,2021,,N,,0,0,0,N,Y, , , , ,Cause, , , , ,,,-239.8,-270,0.05,0.65,-9.8,0,21.7,41.90906558,4,Trample + Seed,Saline,222.9,15.44,0.0581,0.2227,0.5719,402.9,0.004,0.0156,0.0502,0.0832,31.22,9.26,99.94,1.166,0.017,2.51,0.0305,5.304,0.1016,17.33,-0.0058,4.717,3.784,0.6748,0.3833,0.3005
52B,52,B,Treated,Treated,-0.1,176.1,0.875,15.478,17.6926,13.7,7.461,7.87,9.3772,0.0887,50.51,16.2,1358,7.6,-133.5333333,No,2,3 square,"3 square, cattail",1,cattail,cattail,3,3 square,"3 square, hardstem, cattail",2,cattail,"3 square, cattail",2,hardstem,"hardstem, 3 square",2,85.4,49.8,40.28186,-111.75354,Holdaway,Utah Lake,UL7,2021,,N,,1,6.7,0,N,Y, , , , ,Cause, , , , ,,-80.12,-322.6,-317.2,0.14,1.966666667,16.2,0,24.06666667,38.30741529,3,Seed,Saline,79.5,10.78,0.0486,0.222,0.6259,504.9,0.0029,0.0097,0.0459,0.0845,25.17,5.505,102.6,0.9413,0.0313,2.225,0.0275,4.3,0.121,26.16,0.0038,3.919,4.961,0.5105,0.3831,0.321
53B,53,B,Untreated,Untreated,-0.13,70.8,0.514,7.792,15.1515,7.9,8.162,7.094,3.0472,2.5079,47.96,-30,NA,NA,NA,Yes,3,phragmites,"phragmites, little green thing with 5 leaves, viny plant",1,phragmites,phragmites,2,phragmites,"phragmites, stinging nettles",1,phragmites,phragmites,1,phragmites,phragmites,1.6,236,14.4,40.283,-111.75316,Holdaway,Utah Lake,,,,N,,14,93.3,5,Y,Y, , , , ,Cause, , , , ,,,206.8,254.4,NA,NA,-30,11,NA,23.69933227,4,Trample + Mow,Saline,311.8,17.72,0.0367,0.2739,0.558,300.9,0.0032,0.0127,0.0406,0.079,26.73,11.46,156.3,1.413,0.0005,2.569,0.0254,6.315,0.1033,6.023,0.0031,5.246,3.114,0.739,0.5331,0.2464
54B,54,B,Native,Untreated,-0.26,41.1,0.087,2.293,26.4886,1.2,8.165,4.78,1.0133,0.0161,7.78,-8.4,1076.5,6.99,-197.15,No,5,grass,"grass, 3 square, hardstem, grass, two with pics",5,3 square,"3 square, fuzzy one, piny one, little tree, grass",3,grass,"grass, hardstem, cattail, grass",2,hardstem,"hardstem, cattails",1,hardstem,hardstem,3.2,62.2,567.8,40.30282,-111.76283,Sunset Beach Park Vineyard,Utah Lake,,,,N,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,-174,-186.8,0.025,0.4,-8.4,0,27.6,24.72816108,5,NA,Saline,40.4,5.682,0.0091,0.0292,0.1543,129.4,0.0015,0.0096,0.0246,0.0149,15.97,1.784,14.4,0.2548,-0.0012,0.4933,0.0146,1.158,0.0603,4.593,-0.0086,3.511,0.4521,0.3427,0.0679,0.3321
55B,55,B,Native,Untreated,-0.57,21.8,0.161,4.011,24.899,3.3,7.829,7.054,2.9745,1.7746,14.53,NA,NA,NA,NA,Yes,5,phragmites,"phragmites, foxtails, stinging nettle, 2 other with pics",2,bullrush hardstem,"hardstem bullrush, phragmites",3,hardstem,"hardstem, phragmites, cattails",5,even split,"phragmites, hardstem, photos for the rest",1,phragmites,phragmites,3.2,213.6,33.6,40.30285,-111.76231,Sunset Beach Park Vineyard,Utah Lake,,,,N,,6,40,2,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,,228.2,221.2,NA,NA,NA,9.333333333,NA,24.50261449,7,Mow,Saline,88,8.586,0.0242,0.0492,0.2444,143,0.0029,0.0135,0.0343,0.0304,23.64,2.942,22.14,0.4159,0.0061,0.9576,0.0234,1.807,0.0638,2.744,0.0175,3.813,0.5177,0.5587,0.1068,0.3972
56B,56,B,Untreated,Untreated,-0.1,24.1,0.122,3.22,26.4115,2.1,7.625,8.938,1.7071,0.0249,13.83,4.8,1677.333333,7.02,-67.43333333,Yes,4,phragmites,"phragmites, cattail, ?",2,?,?,3,?,?,3,?,?,1,?,?,2.6,92.8,63,40.30335,-111.76286,Sunset Beach Park Vineyard,Utah Lake,,,,N,,1,6.7,1,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-40.46,-180.2,-269,0.463333333,6.533333333,4.8,0,20.96666667,19.50696999,3,Mow,Saline,42.2,6.49,0.0323,0.0405,0.224,156.7,0.0021,0.0087,0.0285,0.0174,19.72,2.811,18.06,0.8336,0.0074,0.6931,0.0159,1.602,0.0745,7.763,0.0099,3.482,0.559,0.3914,0.088,0.3658
57B,57,B,Treated,Treated,-0.07,62.9,0.582,8.6,14.7815,11.4,7.275,2.135,7.0706,0.0579,43.18,5,397.65,6.665,0.65,Yes,2,unknown flower,"flower, cattails",1,phragmites,phragmites,1,phragmites,phragmites,1,phragmites,phragmites,2,unknown purple flower,"unknown, phragmites",1.4,71.8,14,40.36235,-111.86669,Kintail Saratoga,Utah Lake,UL8,2021,,Y,,9,60,3,Y,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,0.26,-119.6,-94.48,0.185,2.55,5,5.8,24.9,29.80523237,4,Spray + Mow,Brackish,143.6,27.17,0.0373,0.0995,0.525,178.7,0.0074,0.0251,0.0774,0.0904,54.65,11.43,32.55,1.48,0.0031,1.874,0.0608,3.952,0.1472,6.287,0.0027,5.324,0.5834,1.193,0.187,0.3273
58B,58,B,Native,Untreated,-0.33,152.3,0.3,7.25,24.1937,4.6,7.63,1.089,3.0454,0.033,22.49,-2.25,1031.666667,7,-150.1333333,Yes,7,?,"hardstem bullrush, ?",4,cattail,"cattail, ?",6,?,?,4,cattail,"cattail, ?",2,cattail,"cattail, phragmites",4.6,181.6,221.2,40.3607,-111.86722,Kintail Saratoga,Utah Lake,,,,Y,,0,0,0,N,Y,Cause, , ,Cause, ,Cause,Cause,Cause, ,,-90.08,-163,-127,0.406666667,5.566666667,-2.25,0,22.06666667,29.49741543,4,Spray + Mow,Fresh,44.9,13.45,0.0411,0.0596,0.4318,379.8,0.0035,0.016,0.0447,0.0508,31.89,4.837,47.14,0.721,0.0034,1.02,0.0298,2.787,0.0529,8.572,0.0033,4.48,1.29,0.8208,0.1876,0.2774
